seed,l4_test_accuracy,l2_test_accuracy,separable_test_accuracy,cz_test_accuracy,l2_minus_l4,separable_minus_l4,cz_minus_l4,cz_minus_separable,l4_vs_2q_separable_flat,2q_separable_vs_cz
30,0.86925,0.79725,0.516,0.516,-0.07199999999999995,-0.35324999999999995,-0.35324999999999995,0.0,True,True
31,0.81225,0.74575,0.516,0.7305,-0.0665,-0.29625,-0.08174999999999999,0.21450000000000002,True,True
32,0.813,0.79725,0.516,0.74575,-0.01574999999999993,-0.29699999999999993,-0.06724999999999992,0.22975,True,True
33,0.87475,0.79725,0.516,0.516,-0.07750000000000001,-0.35875,-0.35875,0.0,True,True
34,0.81225,0.79725,0.516,0.516,-0.015000000000000013,-0.29625,-0.29625,0.0,True,True
