problem,cost_function,qubits,layers,entanglement,seed,test_accuracy,summary_path,image_path
non convex,weighted_fidelity_chi,4,3,not_entangled,30,0.95000000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,1,4,not_entangled,30,0.74575000,fidelity_chi/non_convex/1_qubits/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,4,entangled,30,0.88425000,fidelity_chi/non_convex/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,4,not_entangled,30,0.74175000,fidelity_chi/non_convex/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,4,not_entangled,30,0.95250000,weighted_fidelity_chi/non_convex/1_qubits/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,4,entangled,30,0.97175000,weighted_fidelity_chi/non_convex/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,4,not_entangled,30,0.95250000,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,4,entangled,30,0.96750000,weighted_fidelity_chi/non_convex/4_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,4,not_entangled,30,0.95350000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,1,5,not_entangled,30,0.94625000,fidelity_chi/non_convex/1_qubits/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/5_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,5,entangled,30,0.90350000,fidelity_chi/non_convex/2_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,5,not_entangled,30,0.94600000,fidelity_chi/non_convex/2_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,5,not_entangled,30,0.94375000,weighted_fidelity_chi/non_convex/1_qubits/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/5_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,5,entangled,30,0.96850000,weighted_fidelity_chi/non_convex/2_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,5,not_entangled,30,0.95000000,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,5,entangled,30,0.96750000,weighted_fidelity_chi/non_convex/4_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/entangled/5_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,4,5,not_entangled,30,0.94900000,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/4_qubits/not_entangled/5_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,1,6,not_entangled,30,0.95425000,fidelity_chi/non_convex/1_qubits/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/1_qubits/6_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,6,entangled,30,0.93375000,fidelity_chi/non_convex/2_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30.png
non convex,fidelity_chi,2,6,not_entangled,30,0.94475000,fidelity_chi/non_convex/2_qubits/not_entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/non_convex/2_qubits/not_entangled/6_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,1,6,not_entangled,30,0.96975000,weighted_fidelity_chi/non_convex/1_qubits/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/1_qubits/6_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,6,entangled,30,0.96850000,weighted_fidelity_chi/non_convex/2_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/entangled/6_layers/L-BFGS-B/appendix_seed_30.png
non convex,weighted_fidelity_chi,2,6,not_entangled,30,0.95875000,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/6_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/non_convex/2_qubits/not_entangled/6_layers/L-BFGS-B/appendix_seed_30.png
