backend,points,shots_per_basis,measurement_bases,circuits_executed,accuracy,mean_decision_margin,single_qubit_error,two_qubit_error,readout_error,rng_seed,recorded_noiseless_full_test_accuracy,summary_path
local-density-matrix,400,2048,"['x', 'y', 'z']",1200,0.9,0.6457085971391113,0.0,0.0,0.0,2026,0.918,D:\programming\QS_project\weighted_fidelity_chi\crown\1_qubits\10_layers\L-BFGS-B\appendix_seed_30_summary.txt
local-density-matrix,400,2048,"['x', 'y', 'z']",1200,0.8975,0.5406855181333496,0.01,0.1,0.02,2027,0.918,D:\programming\QS_project\weighted_fidelity_chi\crown\1_qubits\10_layers\L-BFGS-B\appendix_seed_30_summary.txt
local-density-matrix,400,2048,"['x', 'y', 'z']",1200,0.91,0.2575975325068848,0.05,0.5,0.1,2028,0.918,D:\programming\QS_project\weighted_fidelity_chi\crown\1_qubits\10_layers\L-BFGS-B\appendix_seed_30_summary.txt
local-density-matrix,400,2048,"['x', 'y', 'z']",1200,0.8925,0.0949203938850586,0.1,1.0,0.2,2029,0.918,D:\programming\QS_project\weighted_fidelity_chi\crown\1_qubits\10_layers\L-BFGS-B\appendix_seed_30_summary.txt
local-density-matrix,400,2048,"['x', 'y', 'z']",1200,0.5275,0.03590866447465824,0.2,1.0,0.4,2030,0.918,D:\programming\QS_project\weighted_fidelity_chi\crown\1_qubits\10_layers\L-BFGS-B\appendix_seed_30_summary.txt
local-density-matrix,400,2048,"['x', 'y', 'z']",1200,0.49,0.038339176612548875,0.4,1.0,0.8,2031,0.918,D:\programming\QS_project\weighted_fidelity_chi\crown\1_qubits\10_layers\L-BFGS-B\appendix_seed_30_summary.txt
