model_id,source_config_id,source_stage,seed,layers,parameter_count,layer_reduction_fraction_vs_base,parameter_reduction_fraction_vs_base,removed_layer_zero_based,selected_layer_zero_based,train_accuracy,test_accuracy,train_mean_true_margin,test_mean_true_margin,final_loss,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,base_nfev,pipeline_nfev,pipeline_definition,initialization_contract_verified,checkpoint,checkpoint_sha256,raw_result_path,raw_result_sha256
l4-truncate-last,l4-truncate-last,M3,30,3,15,0.25,0.25,3,,0.86,0.8645,0.61059012477577,0.5856304487026507,0.194704937612115,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,448,4137,4585,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-30/20260728T120926.487524Z-84c1654084/checkpoint.npz,0d9e6a512b5bce4dc49cd36f1a5e282bedfe13b7cc6c8f2d1ace1c06bae58d52,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-30/20260728T120926.487524Z-84c1654084/result.json,54d3ebe27ab7c2441cf1babfcc96f98231f7b6e16c9174a9abf7944c4d66d2e6
l4-truncate-last,l4-truncate-last,M3,31,3,15,0.25,0.25,3,,0.8,0.8125,0.49405438339133495,0.47678662115249165,0.2529728083043325,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,528,2247,2775,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-31/20260728T120933.277785Z-993500ef88/checkpoint.npz,2c458330716f39920d75c74ae1ebb3259361895a9deebf186f5f94c163e94e5f,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-31/20260728T120933.277785Z-993500ef88/result.json,67d9d9864dc232e56896930db37ade1f65eb9e9f161e811e930222495fa528a1
l4-truncate-last,l4-truncate-last,M3,32,3,15,0.25,0.25,3,,0.8,0.8125,0.4940543662562129,0.4767851764194148,0.2529728168718934,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,400,1785,2185,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-32/20260728T120944.650841Z-e08fdeea24/checkpoint.npz,17e2bf495cbfd68279b2081f6daed6d48eefc5666ca211ce0398bb04da30a5bc,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-32/20260728T120944.650841Z-e08fdeea24/result.json,3f214f3968e156b7a286ac235c9e720365b786feda386b21331370872e537d44
l4-truncate-last,l4-truncate-last,M3,33,3,15,0.25,0.25,3,,0.8,0.8125,0.49405431906778424,0.4767878165019568,0.25297284046610785,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,416,3591,4007,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-33/20260728T120951.792743Z-cda05af681/checkpoint.npz,96af2cabb35ccea499945677ffddf4a0d06c2c17ce9001b0a839507140c9b648,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-33/20260728T120951.792743Z-cda05af681/result.json,9859361a004c83ae29740a2d59be2dd8b5a7102e9c2c3b3ca8a5478cabace4e7
l4-truncate-last,l4-truncate-last,M3,34,3,15,0.25,0.25,3,,0.8,0.8125,0.494054385441882,0.47678633112175384,0.2529728072790589,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,592,3465,4057,base_nfev + finetune_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-34/20260728T121001.846579Z-54817ff7fb/checkpoint.npz,3623a5d7ef4b690ba7cca11590f1ba39bdab4c014770df4a68a49f8660feeeeb,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l4-truncate-last/seed-34/20260728T121001.846579Z-54817ff7fb/result.json,d54bc15721d02c04ce6ca8b5f8881029a9067be64721124fd8a70ca841fb8b28
l3-scratch,l3-scratch,M3,30,3,15,0.25,0.25,,,0.8,0.8125,0.4940543862659687,0.47678849991548883,0.2529728068670157,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,816,4137,816,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-30/20260728T120928.417794Z-d2887e7d45/checkpoint.npz,035cbaa55db088b4c0a781f13cde775f776e0abfb3fabfc4136474512cabe26f,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-30/20260728T120928.417794Z-d2887e7d45/result.json,138ba1a739499227d525079bbb2cee0883a3ca37659e40b92ecfc7d6c2f3c7ab
l3-scratch,l3-scratch,M3,31,3,15,0.25,0.25,,,0.8,0.8125,0.4940543861365873,0.4767916353477275,0.25297280693170626,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,784,2247,784,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-31/20260728T120936.842635Z-6efff2e090/checkpoint.npz,6d8e7f10a0306b54a5e00b793d9dd1b5acda438de51fb90f665d4d5bb3ea50df,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-31/20260728T120936.842635Z-6efff2e090/result.json,7eef738df138a995a92bfd878a45600419c362bc44c16830e8af50a4a1c8ead6
l3-scratch,l3-scratch,M3,32,3,15,0.25,0.25,,,0.77,0.74575,0.4192574310493519,0.4104253091692779,0.2903712844753241,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,368,1785,368,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-32/20260728T120946.665433Z-19b4e28d7f/checkpoint.npz,79087373fd8305e86508a852b7182750474aa7186a4e35f31802904b283354dd,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-32/20260728T120946.665433Z-19b4e28d7f/result.json,fb1f3dc21f94cbe264a1e5a0e3b71845d66bf38cfd718eede4d55de33dcba874
l3-scratch,l3-scratch,M3,33,3,15,0.25,0.25,,,0.8,0.8125,0.49405438120810996,0.4767922257662915,0.2529728093959449,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,864,3591,864,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-33/20260728T120954.509085Z-f6e2b8fcfe/checkpoint.npz,5f5dea81f46c5c04eaec4990f49c757c3fd3f727c3f53b2496aa87ae6dd51ad0,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-33/20260728T120954.509085Z-f6e2b8fcfe/result.json,868649ee688f91720b2023860765d359f37495e81b33083f89fb6ce4bd11c914
l3-scratch,l3-scratch,M3,34,3,15,0.25,0.25,,,0.8,0.8125,0.49405438619378644,0.4767881711220522,0.25297280690310675,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1360,3465,1360,model_optimizer_nfev,True,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-34/20260728T121005.762181Z-abeb519e7f/checkpoint.npz,b00e5ce947426ccff75eec27ae2d298f1582d5c5f7a520d42ecacb0fe916255a,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/l3-scratch/seed-34/20260728T121005.762181Z-abeb519e7f/result.json,2c37141a217fac8e7b55e7b71ed87c247aa18c299ab25a28f6e88a1831548aa2
