seed,base_test_accuracy,pruned_test_accuracy,truncate_test_accuracy,pruned_minus_base_test_accuracy,truncate_minus_base_test_accuracy,pruned_minus_truncate_test_accuracy,pruned_minus_base_train_accuracy,truncate_minus_base_train_accuracy,pruned_minus_truncate_train_accuracy,pruned_minus_base_final_loss,truncate_minus_base_final_loss,pruned_minus_truncate_final_loss,base_optimizer_nfev,pruned_finetune_nfev,truncate_finetune_nfev,pruned_pipeline_nfev,truncate_pipeline_nfev,pruned_minus_base_pipeline_nfev,truncate_minus_base_pipeline_nfev,pruned_minus_truncate_pipeline_nfev
30,0.86925,0.87,0.8645,0.0007500000000000284,-0.004749999999999921,0.005499999999999949,-0.010000000000000009,-0.03500000000000003,0.025000000000000022,0.020679449781873693,0.001436451143646017,0.019242998638227676,4137,384,448,4521,4585,384,448,-64
31,0.81225,0.8125,0.8125,0.00024999999999997247,0.00024999999999997247,0.0,0.0,0.0,0.0,0.0010026060187188768,0.0010025822420596242,2.377665925257233e-08,2247,288,528,2535,2775,288,528,-240
32,0.813,0.8125,0.8125,-0.0004999999999999449,-0.0004999999999999449,0.0,0.0,0.0,0.0,0.0009227785056328819,0.0009227871229892659,-8.617356384021946e-09,1785,544,400,2329,2185,544,400,144
33,0.87475,0.8125,0.8125,-0.06225000000000003,-0.06225000000000003,0.0,-0.08999999999999997,-0.08999999999999997,0.0,0.043164206779704645,0.043164206779704645,0.0,3591,416,416,4007,4007,416,416,0
34,0.81225,0.8125,0.8125,0.00024999999999997247,0.00024999999999997247,0.0,0.0,0.0,0.0,0.0010025930508786862,0.001002593024198084,2.6680602172035606e-11,3465,432,592,3897,4057,432,592,-160
