model_id,training_seed,method_id,repeat_count,exact_accuracy,accuracy_mean,accuracy_sample_sd,exact_label_flip_rate_mean,exact_label_flip_rate_sample_sd,mean_shots_mean,mean_shots_sample_sd,median_shots_mean,median_shots_sample_sd,p90_shots_mean,p90_shots_sample_sd,p95_shots_mean,p95_shots_sample_sd,stop_fraction_128_mean,stop_fraction_128_sample_sd,stop_fraction_512_mean,stop_fraction_512_sample_sd,stop_fraction_2048_mean,stop_fraction_2048_sample_sd,cap_hit_mean,cap_hit_sample_sd,cap_hit_fraction_mean,cap_hit_fraction_sample_sd,total_shots_mean,total_shots_sample_sd
l4-to-l3-pruned,32,fixed-2048,100,0.795,0.7956300000000001,0.0020382949896044175,0.00675,0.002332792145031184,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-to-l3-pruned,32,adaptive,100,0.795,0.79568,0.002059126028197402,0.00682,0.00233281379497383,332.35328,7.283036393752764,128.0,0.0,512.0,0.0,2048.0,0.0,0.81919,0.005864970484825867,0.09297,0.007028736110648295,0.08784,0.004389427150217976,43.37,3.56938440778029,0.04337,0.0035693844077802897,332353.28,7283.0363937527645
l4-to-l3-pruned,33,fixed-128,100,0.795,0.79386,0.0046078983574648555,0.02806,0.004494261211632435,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-to-l3-pruned,33,fixed-512,100,0.795,0.7956300000000001,0.0031771119596325876,0.01375,0.003211013245162041,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-to-l3-pruned,33,fixed-2048,100,0.795,0.79652,0.002176458062304373,0.00638,0.0023731664905604897,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-to-l3-pruned,33,adaptive,100,0.795,0.7965300000000001,0.002176342033427801,0.00639,0.0024366519503763204,331.06304,7.513877523138588,128.0,0.0,512.0,0.0,2048.0,0.0,0.81999,0.005478138369920927,0.09281,0.007019014578740071,0.0872,0.004636264605795217,43.13,3.680840373961612,0.04313,0.0036808403739616116,331063.04,7513.877523138587
l4-to-l3-pruned,34,fixed-128,100,0.795,0.7941,0.0046914924075501865,0.02928,0.004216561862393809,128.0,0.0,128.0,0.0,128.0,0.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,0.0
l4-to-l3-pruned,34,fixed-512,100,0.795,0.7953800000000001,0.003171145158481654,0.01362,0.003227971186333295,512.0,0.0,512.0,0.0,512.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512000.0,0.0
l4-to-l3-pruned,34,fixed-2048,100,0.795,0.7961100000000001,0.0024818329817888553,0.00661,0.0023693966329089784,2048.0,0.0,2048.0,0.0,2048.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2048000.0,0.0
l4-to-l3-pruned,34,adaptive,100,0.795,0.79603,0.0024759652744745938,0.00669,0.0023557151651661832,333.01376,7.03669767175174,128.0,0.0,512.0,0.0,2048.0,0.0,0.81911,0.006764277828819145,0.09264,0.007187980989615284,0.08825,0.003960346378076472,43.87,3.2618238685580416,0.04387,0.0032618238685580415,333013.76,7036.69767175174
