campaign_id,model_id,model_code,training_seed,repeat_index,repeat_number,rng_bit_generator,rng_entropy,rng_state_words,method_id,policy,nominal_shots,checkpoint,checkpoint_sha256,exact_accuracy,n_points,accuracy,exact_label_flip_rate,mean_shots,median_shots,p90_shots,p95_shots,stop_fraction_128,stop_fraction_512,stop_fraction_2048,cap_hit,cap_hit_fraction,total_shots,alpha,cp_tail_probability
l4-base-seed-34-repeat-095,l4-base,0,34,95,96,PCG64,2026:4:0:34:95,1127115904:3556068424:602516920:2700190581,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.798,0.003,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-base-seed-34-repeat-095,l4-base,0,34,95,96,PCG64,2026:4:0:34:95,1127115904:3556068424:602516920:2700190581,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.798,0.003,323.84,128.0,512.0,2048.0,0.826,0.09,0.084,39,0.039,323840,0.05,0.008333333333333333
l4-base-seed-34-repeat-096,l4-base,0,34,96,97,PCG64,2026:4:0:34:96,4109987024:1813259458:3003318457:620505669,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.79,0.025,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-base-seed-34-repeat-096,l4-base,0,34,96,97,PCG64,2026:4:0:34:96,4109987024:1813259458:3003318457:620505669,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.793,0.016,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-base-seed-34-repeat-096,l4-base,0,34,96,97,PCG64,2026:4:0:34:96,4109987024:1813259458:3003318457:620505669,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.795,0.006,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-base-seed-34-repeat-096,l4-base,0,34,96,97,PCG64,2026:4:0:34:96,4109987024:1813259458:3003318457:620505669,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.795,0.006,343.04,128.0,512.0,2048.0,0.82,0.085,0.095,40,0.04,343040,0.05,0.008333333333333333
l4-base-seed-34-repeat-097,l4-base,0,34,97,98,PCG64,2026:4:0:34:97,485487412:3716245510:3918278753:2243083502,fixed-128,fixed,128,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.797,0.034,128.0,128.0,128.0,128.0,1.0,0.0,0.0,0,0.0,128000,,
l4-base-seed-34-repeat-097,l4-base,0,34,97,98,PCG64,2026:4:0:34:97,485487412:3716245510:3918278753:2243083502,fixed-512,fixed,512,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.793,0.018,512.0,512.0,512.0,512.0,0.0,1.0,0.0,0,0.0,512000,,
l4-base-seed-34-repeat-097,l4-base,0,34,97,98,PCG64,2026:4:0:34:97,485487412:3716245510:3918278753:2243083502,fixed-2048,fixed,2048,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.797,0.004,2048.0,2048.0,2048.0,2048.0,0.0,0.0,1.0,0,0.0,2048000,,
l4-base-seed-34-repeat-097,l4-base,0,34,97,98,PCG64,2026:4:0:34:97,485487412:3716245510:3918278753:2243083502,adaptive,clopper-pearson-sequential,,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M1/1q-l4-paper_squared/seed-34/20260728T120028.841816Z-857625ef03/checkpoint.npz,aa49e7585474b8ca87bb8c73c75dafc61fe63a02d012f66cd24f8ccd03f4f0fc,0.799,1000,0.797,0.004,321.152,128.0,512.0,2048.0,0.833,0.083,0.084,41,0.041,321152,0.05,0.008333333333333333
