seed,selected_layer_zero_based,selected_layer_one_based,base_train_loss_recomputed,base_final_loss_recorded,base_loss_matches,selected_unfinetuned_train_loss,selected_loss_increase_from_base,selection_rule_verified,verification,source_result_path,source_result_sha256,layer_0_unfinetuned_train_loss,layer_0_loss_increase_from_base,layer_1_unfinetuned_train_loss,layer_1_loss_increase_from_base,layer_2_unfinetuned_train_loss,layer_2_loss_increase_from_base,layer_3_unfinetuned_train_loss,layer_3_loss_increase_from_base
30,1,2,0.19326848646846898,0.19326848646846898,True,0.3075372990699463,0.11426881260147734,True,artifacts-verified,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/pruning-selection/seed-30/20260728T120924.391341Z-65dbc57be0/result.json,e200c7e5208253f522f3b4d87ec8a43d2eb2f479b50187732804babd791ab67f,0.4695594872304686,0.27629100076199964,0.3075372990699463,0.11426881260147734,0.5250411219330324,0.3317726354645635,0.5304649357232808,0.33719644925481185
31,1,2,0.2519702260622729,0.2519702260622729,True,0.30977782323133934,0.05780759716906647,True,artifacts-verified,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/pruning-selection/seed-31/20260728T120931.744703Z-cf160a4a95/result.json,3e9db08c703a1a4004ff36e83c20b487b91e5025c73b8fe62d0fb57cf7776ae8,0.49409271025448015,0.24212248419220728,0.30977782323133934,0.05780759716906647,0.33819334797366907,0.0862231219113962,0.49410343082454666,0.2421332047622738
32,2,3,0.2520500297489041,0.2520500297489041,True,0.3150830706863793,0.0630330409374752,True,artifacts-verified,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/pruning-selection/seed-32/20260728T120941.568485Z-395460bc66/result.json,4f3db7513b42d0a82e08e85c94ed617cb7ddd638e1c1af18ac764747c3ac91f6,0.5510589279979775,0.2990088982490734,0.6015169027338303,0.3494668729849262,0.3150830706863793,0.0630330409374752,0.4488484920405068,0.1967984622916027
33,3,4,0.2098086336864032,0.2098086336864032,True,0.3450662891209889,0.1352576554345857,True,artifacts-verified,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/pruning-selection/seed-33/20260728T120948.754254Z-b6c4cc32bf/result.json,9ddfab00dd88178f932fc6cbb92c97be4d3505213a9c97111dbdcc66da13d55c,0.5677233200965796,0.3579146864101763,0.3651408961918491,0.15533226250544588,0.39647121044512557,0.18666257675872236,0.3450662891209889,0.1352576554345857
34,2,3,0.2519702142548608,0.2519702142548608,True,0.33483245136011114,0.08286223710525031,True,artifacts-verified,/Users/kuroneko/Documents/课程/Homework/量子/QS_project/results/raw/M3/pruning-selection/seed-34/20260728T120959.257245Z-6229836206/result.json,22b05d736b9be6280ca7f7feddfbf5d25b1ab46d9b40b3577d46bce4b56e9625,0.49392102585577136,0.24195081160091053,0.47235467637919726,0.22038446212433643,0.33483245136011114,0.08286223710525031,0.4938949730149942,0.24192475876013336
